,distr,address,phone,fullname,form,head,latitude,longitude
20,район Орехово-Борисово Северное,"115569, г. Москва, Шипиловская ул., д. 17, к. 1, стр. 1",(495) 392-89-00,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Юридический колледж»,бюджетное,Самойлов Георгий Владимирович,37.7081098523,55.6200842761
21,район Ново-Переделкино,"119634, г. Москва, ул. Чоботовская, д. 5, корп.1",(495) 731-99-34,Государственное бюджетное образовательное учреждение города Москвы центр детского творчества «Ново-Переделкино»,бюджетное,Шатова Елена Леонидовна,37.352424777,55.6425659476
22,Мещанский район,"105094, г. Москва, Госпитальный вал, д.1А, стр.1",(495) 288-57-87,Государственное бюджетное учреждение дополнительного образования города Москвы «Детский образовательный центр «Центральный»,бюджетное,Николаичева Инесса Михайловна,37.7032336876,55.7705030034
23,район Косино-Ухтомский,"111621, г. Москва, Муромская ул., д.1А",(926) 557-77-16,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1022»,бюджетное,Куляшова Юлия Николаевна,37.8580641399,55.7112776842
24,район Чертаново Северное,"117208, г. Москва, Сумской пр. д.6 Б",(495) 311-81-18,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр внешкольной работы «На Сумском»,бюджетное,Абрамова Елена Ивановна,37.6025707088,55.6289040174
25,район Солнцево,"119619, г. Москва, ул.Наро-Фоминская, д.1",(495) 435-72-42,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1000»,бюджетное,Абродина Елена Михайловна,37.4093646185,55.6460321573
26,Таганский район,"109029, г. Москва, ул.Б.Калитниковская, д.36, стр.1",(495) 670-50-81,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 3»,бюджетное,Корчагина Маргарита Ивановна,37.6845722534,55.7368032654
27,район Тёплый Стан,"117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3",(495) 337-30-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1532»,бюджетное,Бутырская Маргорита Афанасьевна,37.4934652946,55.6179427518
28,район Богородское,"107370, г. Москва, ул. Бойцовая, д. 6, кор. 8А",(499) 160-86-16,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»,бюджетное,Клюхина Александра Игоревна,37.720629531,55.8094665503
29,район Южное Бутово,"117041, г. Москва, ул. Адмирала Лазарева, д. 77",(499) 793-70-30,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1786»,бюджетное,Гладик Владимир Адамович,37.4964304756,55.5347285903
30,район Орехово-Борисово Северное,"115563, г. Москва, Борисовский пр., д.40, корп.3",(495) 394-02-54,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 438»,бюджетное,Отке Наталья Вячеславовна,37.7225279234,55.617577357
31,район Крылатское,"121609, г. Москва, Осенний б-р, д.10, корп.3",(495) 415-98-55,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1440»,бюджетное,Миняйло Ирина Николаевна,37.3963554149,55.7701503027
32,район Ново-Переделкино,"119634, г. Москва, ул. Чоботовская, д.19",(495) 733-14-67,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1238»,бюджетное,Савельева Анна Владимировна,37.3457044171,55.6453883289
33,Войковский район,"125212, г. Москва, Ленинградское шоссе, д. 30",(495) 123-67-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 744 имени Петра Николаевича Еремеева»,бюджетное,Ганьшина Елена Валентиновна,37.4910812707,55.8293555692
34,район Лианозово,"127572, г. Москва, Алтуфьевское ш., д.97, корп.3",(499) 200-87-38,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 166»,бюджетное,Шпакова Виктория Юрьевна,37.5821953355,55.9009657722
35,район Ясенево,"121357, г. Москва, ул. Кременчугская д. 13",(495) 427-51-98,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат «Интеллектуал»,бюджетное,Тихорский Юрий Борисович,37.4615299486,55.7168642436
36,район Тропарёво-Никулино,"119571, г. Москва, Вернадского пр-т, д.127, корп.2",(495) 434-31-04,Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр на проспекте Вернадского»,бюджетное,Беспалова Светлана Анатольевна,37.4901835654,55.6566239176
37,район Проспект Вернадского,"119607, г. Москва, ул. Удальцова, д.40",(499) 432-39-01,Государственное бюджетное образовательное учреждение города Москвы центр образования № 1953 «Москва-98»,бюджетное,Барановский Александр Петрович,37.4942729622,55.6853217898
38,район Северное Измайлово,"105215, г. Москва, ул. 5-я Парковая, дом 60",(499) 163-91-32,Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества имени А.В. Косарева,бюджетное,Королева Татьяна Ивановна,37.7893075704,55.8063752696
39,район Восточное Дегунино,"127591, г. Москва, Керамический проезд, дом 55, корпус 3",(499) 900-08-50,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1296»,бюджетное,Громовая Ирина Николаевна,37.5626574849,55.8788212097
40,район Раменки,"119192, г. Москва, ул. Столетова, д. 3",(499) 665-85-26,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 37»,бюджетное,Баринова Татьяна Юрьевна,37.5003038239,55.7031327203
41,район Нагатинский Затон,"115470, г. Москва, пр-т Андропова, д.17, корп.5",(499) 612-00-55,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1527»,бюджетное,Кадыкова Елена Владимировна,37.6694429384,55.6828070357
42,район Беговой,"125040, г. Москва, ул.Расковой, д.20А, стр.1",(495) 612-40-41,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 52»,бюджетное,Подвальная Елена Владимировна,37.574139694,55.787686516
43,район Вешняки,"111395, г. Москва, ул. Красный Казанец, д.3А",(499) 373-36-96,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»,бюджетное,Филипов Виктор Владимирович,37.8114888317,55.7240730988
44,Нагорный район,"117638, г. Москва, Нахимовский пр-т, д.6",(499) 794-29-45,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр инклюзивного образования «Южный»,бюджетное,Бурлакина Ольга Викторовна,37.6095861106,55.6645144918
45,район Марьино,"109144, г. Москва, Батайский пр., д.47",(499) 356-73-92,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1394 «Воспитательно-образовательный центр «На набережной»,бюджетное,Тихонов Валерий Анатольевич,37.7365196772,55.6445225981
46,Обручевский район,"117393, г. Москва, ул. Профсоюзная, дом № 62",(499) 128-76-12,Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VI вида № 17,бюджетное,Игнатенко Тамара Викторовна,37.5495425348,55.6674212711
47,Басманный район,"119121, г. Москва, 1-ый Тружеников пер., д.18",(499) 261-89-07,Государственное казенное общеобразовательное учреждение города Москвы «Школа № 2124 «Центр развития и коррекции»,бюджетное,Рыжих Людмила Леонидовна,37.6717823921,55.7653935991
48,район Южное Тушино,"125364, г. Москва, ул. Свободы, д. 42, корп. 2",(499) 497-00-98,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1551»,бюджетное,Балакирева Вера Витальевна,37.4521204144,55.8491405418
49,район Южное Бутово,"117042, г. Москва, ул. Горчакова, д. 9, корп. 1",(495) 716-29-35,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики № 2007,бюджетное,Старовойт Сергей Георгиевич,37.5325918216,55.5449361331
50,Обручевский район,"117630, г. Москва, улица Академика Челомея, дом 6а",(495) 936-30-95,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1100»,бюджетное,Микаелян Гарри Суренович,37.5288655154,55.6626313656
51,район Старое Крюково,"124575, г. Москва, Зеленоград, корп.921А",(499) 731-43-92,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 719»,бюджетное,Кисетова Зульфия Максутовна,37.1866205315,55.9846626514
52,Останкинский район,"129515, г. Москва, 1-я Останкинская улица, дом 29",(495) 616-48-29,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1415,бюджетное,Загородникова Галина Николаевна,37.6282683066,55.8236519251
53,Даниловский район,"115114, г. Москва, ул.Дербеневская, д.13",(495) 959-77-38,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1553 имени В.И. Вернадского»,бюджетное,Калачихина Ольга Данииловна,37.6491079696,55.7212491729
54,Войковский район,"125130, г. Москва, ул. Зои и Александра Космодемьянских, дом 3, корпус 1",(499) 150-00-32,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских»,бюджетное,Подольская Елена Викторовна,37.5135280995,55.8228924272
55,Войковский район,"125212, г. Москва, Лениградское шоссе, д. 54",(499) 159-72-61,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 224»,бюджетное,Головлева Инна Васильевна,37.484338431,55.8380322271
56,район Сокол,"127434, г. Москва, Дмитровское шоссе, д. 11 А",(499) 198-70-43,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 10»,бюджетное,Теплова Галина Борисовна,37.5658901814,55.8137110638
57,район Кунцево,"121359, г. Москва, ул.Партизанская, д.45",(499) 141-01-41,Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы «Синегория»,бюджетное,Костякова Ольга Юрьевна,37.4021652011,55.7395680181
58,Басманный район,"101000, г. Москва, пер.Огородная Слобода, д.6, стр.1",(495) 621-33-70,Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи,бюджетное,Кузьмина Лариса Ивановна,37.6423645206,55.7655533562
59,район Сокольники,"107014, г. Москва, ул. Большая Остроумовская, дом 7",(495) 603-07-14,Государственное бюджетное общеобразовательное учреждение города Москвы «Прогимназия № 1752 в Сокольниках»,бюджетное,Рябинина Ирина Герольдовна,37.6855537293,55.793232589
60,Тимирязевский район,"127206, г. Москва, Астрадамская ул., д. 5В",(495) 611-41-33,Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 766,бюджетное,Андрианова Юлия Сергеевна,37.5621946821,55.8108533438
61,район Ивановское,"111531, г. Москва, шоссе Энтузиастов, дом 100 А",(495) 307-38-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 400»,бюджетное,Осипова Александра Анатольевна,37.8358945496,55.7734762177
62,район Очаково-Матвеевское,"119361, г. Москва, ул. Б. Очаковская, д. 25",(495) 430-63-35,Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 571,бюджетное,Зацепина Любовь Васильевна,37.4535666488,55.6802767633
63,район Беговой,"125124, г. Москва, ул.Правды, д.3А",(495) 614-01-18,Государственное бюджетное образовательное учреждение города Москвы центр творческого развития и гуманитарного образования «Поликультурный центр»,бюджетное,Варданян Давид Назарович,37.5756875,55.7846282893
64,Пресненский район,"123056, г. Москва, ул.Зоологическая, д.28, стр.1",(499) 254-96-97,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1950»,бюджетное,Паршина Екатерина Александровна,37.5855746719,55.7720227444
65,район Нагатино-Садовники,"115201, г. Москва, Старокаширское ш., д.2, корп.11",(499) 612-03-39,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1073»,бюджетное,Ларионова Евгения Иосифовна,37.6272097732,55.6601519524
66,район Очаково-Матвеевское,"121359, г. Москва, улица Бобруйская, дом 23",(495) 446-42-54,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс сферы услуг»,бюджетное,Мирошкин Кирилл Петрович,37.4106198471,55.7366450065
67,район Некрасовка,"111674, г. Москва, ул.1-я Вольская, д. 9, к.3",(499) 211-20-07,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»,бюджетное,Артемьев Александр Николаевич,37.9175156608,55.6822066124
68,район Хорошёво-Мнёвники,"123154, г. Москва, улица Маршала Тухачевского, дом 20, корп. 1",(499) 197-51-23,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Хорошево»,бюджетное,Ледовская Татьяна Леонидовна,37.4796289705,55.7841842879
69,район Выхино-Жулебино,"109444, г. Москва, Ташкентская улица, дом 23, корпус 4, строение 1",(495) 376-84-67,Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 895,бюджетное,Гурина Светлана Александровна,37.8136260594,55.7004351407
70,район Куркино,"125465, г. Москва, ул. Соколово-Мещерская, д.27",(499) 501-28-61,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1387»,бюджетное,Андреева Марина Геннадьевна,37.3816764033,55.9034266303
71,район Зябликово,"115580, г. Москва, Шипиловская ул., д.59, корп.2",(495) 395-12-12,Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа № 991»,бюджетное,Акацевич Наталья Васильевна,37.7497971701,55.6249480083
72,район Аэропорт,"125315, г. Москва, Коптевский Б. пр., д. 5",(499) 152-72-66,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 2»,бюджетное,Суворов Павел Андреевич,37.5355900132,55.8100380706
73,район Строгино,"123458, г. Москва, ул.Таллинская, д.16, корп.4",(495) 756-62-90,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1155»,бюджетное,Федулов Константин Владимирович,37.4003064426,55.796415791
74,район Новогиреево,"111558, г. Москва, Зеленый пр-кт, д. 75 стр. 1",(495) 302-33-03,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1798 «Феникс»,бюджетное,Урман Елена Евгеньевна,37.8047308195,55.7541581091
75,район Черёмушки,"117246, г. Москва, ул. Херсонская, дом 27 А",(495) 332-64-22,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 15»,бюджетное,Белов Андрей Владимирович,37.5579671326,55.6520938829
76,район Раменки,"119192, г. Москва, Мичуринский пр-т, д.5, корп.1",(495) 544-53-85,Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская гимназия № 1448»,бюджетное,Дмитриева Ольга Александровна,37.5133076205,55.7020588439
77,район Зябликово,"115580, г. Москва, ул.Мусы Джалиля, д.25",(495) 396-83-65,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1552»,бюджетное,Авилова Оксана Григорьевна,37.7451021499,55.6247067738
78,Рязанский район,"109377, г. Москва, 12-я Новокузьминская улица, дом 6, корпус 2",(495) 379-63-47,Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества «Технорама на Юго-Востоке»,бюджетное,Барышев Андрей Юрьевич,37.7804702949,55.7148835657
79,район Зюзино,"117461, г. Москва, ул.Каховка, д.19, корп.2",(499) 122-84-70,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»,бюджетное,Белянин Алексей Александрович,37.5770280463,55.6524039542
80,район Перово,"111123, г. Москва, 3-я Владимирская улица дом 5",(495) 303-31-50,Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная гимназия»,бюджетное,Шкуренко Елена Васильевна,37.7864616558,55.7625370326
81,район Чертаново Центральное,"117525, г. Москва, Днепропетровская улица, дом 25 корпус 1",(495) 315-28-71,Государственное бюджетное учреждение города Москвы «Московский городской дом учителя»,бюджетное,Минько Нина Григорьевна,37.5855228163,55.6216085522
82,район Восточное Дегунино,"127591, г. Москва, ул. 800-летия Москвы, д. 7а",(495) 485-97-32,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 222»,бюджетное,Баскакова Наталья Анатольевна,37.560959408,55.8861627569
83,Ярославский район,"129337, г. Москва, Ярославское шоссе, дом ( владение) 8, корп. 6",(499) 188-47-47,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1577»,бюджетное,Юрова Алла Геннадьевна,37.6884727508,55.8519186569
84,район Строгино,"123458, г. Москва, ул. Твардовского, д. 10, корп. 1",(495) 756-30-60,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Техникум малого бизнеса № 67»,бюджетное,Комолова Татьяна Ивановна,37.394849094,55.793716336
85,район Некрасовка,"111674, г. Москва, ул. 2-я Вольская, д.7, корп.2",(499) 211-24-40,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1595,бюджетное,Силина Лада Владимировна,37.9220561818,55.688056802
86,район Ивановское,"105568, г. Москва, ул. Челябинская, д. 20",(499) 308-00-29,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1476,бюджетное,Ионова Ирина Валерьевна,37.8357421345,55.7782281563
87,район Ново-Переделкино,"119634, г. Москва, ул.Лукинская, д.12, корп.1",(499) 739-09-26,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением естественных наук № 1376»,бюджетное,Ильина Наталья Владимировна,37.3413465348,55.648953251
88,Нагорный район,"117638, г. Москва, Нахимовский пр-т, д.6",(499) 613-17-22,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 73»,казённое,Зимнухова Ирина Владимировна,37.6094472348,55.6651248255
89,Басманный район,"105005, г. Москва, Госпитальный переулок, д. 3",(499) 267-20-48,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1247 имени Юргиса Балтрушайтиса»,бюджетное,Валаткайте Солвейга Прановна,37.6877108277,55.7710207801
90,район Богородское,"105037, г. Москва, ул. 1-я Парковая, д. 12",(499) 160-88-10,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»,бюджетное,Набатова Анна Юрьевна,37.7883129827,55.8049032472
91,район Хорошёво-Мнёвники,"123423, г. Москва, ул. Народного Ополчения, д. 16, корп. 4",(499) 191-25-94,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1522,бюджетное,Воробьева Вера Владимировна,37.4820334028,55.7729245171
92,район Южное Тушино,"125371, г. Москва, Волоколамское шоссе, дом 112, корп. 3",(499) 497-65-87,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический техникум № 47 имени В.Г. Федорова»,бюджетное,Сынгаевский Дмитрий Алексеевич,37.4230033515,55.8304736373
93,Даниловский район,"115093, г. Москва, 1-й Павловский пер., д.7",(495) 952-60-81,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 79»,бюджетное,Тураносова Вера Николаевна,37.6320017581,55.7167304599
94,район Кунцево,"121351, г. Москва, ул. Партизанская, д.30, корп.2, стр.2",(499) 141-72-23,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 64»,бюджетное,Яшина Галина Алексеевна,37.419183779,55.73601379
95,район Соколиная Гора,"105187, г. Москва, ул. Щербаковская, д. 36А",(495) 366-68-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1947»,бюджетное,Голованова Лариса Евгеньевна,37.7269983504,55.7811494062
96,район Митино,"125368, Москва, ул. Митинская, д. 45, к. 3",(495) 751-60-49,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Педагогический колледж № 18 Митино»,бюджетное,Сергеева Татьяна Сергеевна,37.349584035,55.8501702274
97,Можайский район,"121471, г. Москва, ул.Гжатская, д.6",(495) 443-82-85,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 391»,бюджетное,Неверова Лариса Васильевна,37.4406601386,55.7158959554
98,район Перово,"111401, г. Москва, 3-я Владимирская ул., д.26А",(495) 306-54-20,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением немецкого языка № 1269»,бюджетное,Курнышева Екатерина Владимировна,37.7865694027,55.7541728595
99,район Щукино,"123298, г. Москва, ул. Маршала Бирюзова, д. 5",(499) 198-09-92,Государственное автономное учреждение дополнительного образования города Москвы «Детский музыкальный театр «Домисолька»,бюджетное,Жиганов Иван Назибович,37.4973722852,55.7904385017
100,район Печатники,"109548, г. Москва, ул. Гурьянова, д.6, к.2",(495) 357-54-11,Государственное бюджетное образовательное учреждение города Москвы лицей № 1524,бюджетное,Басевская Ольга Борисовна,37.7203481726,55.6910992911
101,Обручевский район,"119421, г. Москва, Ленинский проспект, дом 97, корпус 1",(499) 132-32-56,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1311 «Тхия»,бюджетное,Проценко Ирина Александровна,37.5240466264,55.6715465999
